KEGG Drug ID,Efficacy and Disease
D00519,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00538,"Anticonvulsant, Antiepileptic"
D00652,"Antiglaucoma, Carbonic anhydrase inhibitor"
D00655,"Antiglaucoma, Carbonic anhydrase inhibitor"
D01346,Diagnostic aid (pancreas function determination)
D02756,"Antineoplastic, Topoisomerase inhibitor"
D04031,"Antineoplastic, Topoisomerase I inhibitor"
D02356,"Antiarrhythmic, Vasodilator, Calcium channel blocker"
D00781,"Antiparkinsonian, Antidyskinetic, COMT inhibitor"
D00786,"Antiparkinsonian, COMT inhibitor"
D00423,Antiviral
D00052,Chelating agent (metal)
D02176,Replenisher (carnitine)
D03798,"Anticoagulant, Vitamin K antagonist"
D03736,"Antipsoriatic, Antirheumatic, Mitogen-activated protein kinase inhibitor"
D00584,"Antineoplastic, Antimetabolite"
D00569,Antipyretic
D00771,Skeletal muscle relaxant
D00960,"Antineoplastic, Estrogen biosynthesis inhibitor"
D00964,"Antineoplastic, Estrogen biosynthesis inhibitor"
D01425,"Antiviral, HIV protease inhibitor"
D00283,Antipsychotic
D00454,Antipsychotic
D00563,"Antidepressant, Serotonin receptor antagonist"
D03365,Smoking cessation adjunct
D00293,"Antianxiety, Minor tranquilizer, Sedative-hypnotic"
D00322,"Antifungal, Ergosterol biosynthesis inhibitor"
D00512,Antiepileptic
D00533,"Anticonvulsant, Antiepileptic"
D00536,Antiepileptic
D00882,"Antifungal, Ergosterol biosynthesis inhibitor"
D05353,"Anti-ulcerative, Proton pump inhibitor"
D00252,"Analgesic, Antiepileptic"
D00596,"Antidiabetic, Peroxisome proliferator-activated receptor (PPAR) gamma agonist"
D05341,Diagnostic aid (ultrasound contrast medium)
D00126,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00567,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D00593,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00234,"Antiallergic, H1 receptor antagonist"
D00274,"Prokinetic, Serotonin receptor agonist"
D00300,"Antiallergic, H1 receptor antagonist"
D00503,"Antipsychotic, Dopamine D2 receptor antagonist"
D00521,"Antiallergic, H1 receptor antagonist"
D01164,"Antipsychotic, Dopamine receptor partial agonist, Serotonin receptor agonist/antagonist"
D02342,"Antihypertensive, beta1-Adrenergic receptor antagonist"
D02671,Antipsychotic
D00131,"Antialcohol dependence, Aldehyde dehydrogenase inhibitor"
D00543,Anesthetic (inhalation)
D00544,Anesthetic (inhalation)
D00547,Anesthetic (inhalation)
D00364,"Antiallergic, H1 receptor antagonist"
D00387,Sedative-hypnotic
D00434,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D00550,"Anesthetic (intravenous), Anticonvulsant, Sedative-hypnotic"
D00153,Antineoplastic
D00963,"Antineoplastic, Estrogen biosynthesis inhibitor"
D00188,"Antirachitic, Vitamin D receptor agonist"
D00129,"Osteoporosis agent, Vitamin D receptor agonist"
D00187,"Antirachitic, Vitamin D receptor agonist"
D02556,"Antifungal, Ergosterol biosynthesis inhibitor"
D00005,Supplement (vitamin B2)
D00038,"Antifungal, Antiseptic"
D02368,"Antineoplastic, Antimetabolite"
D00198,Antihypertensive
D00251,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00362,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00383,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00421,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03077,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03752,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03753,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03769,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03772,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00142,"Antineoplastic, Antimetabolite"
D00145,"Antibacterial, Folic acid biosynthesis inhibitor"
D00488,Antimalarial
D06238,"Antineoplastic, Antimetabolite"
D00055,Choleretic
D00749,"Antirheumatic, Dihydroorotate dehydrogenase inhibitor"
D00208,Antineoplastic
D00401,"Antithyroid, Thyroid hormone synthesis inhibitor"
D00562,"Antithyroid, Thyroid hormone synthesis inhibitor"
D00332,"Anticonvulsant, Antiepileptic"
D00535,"Anticonvulsant, Antiepileptic"
D00027,Antineoplastic (adjunct)
D00369,"Antineoplastic, Alkylating agent"
D00035,Supplement (proline)
D01828,"Antiallergic, Mediator release inhibitor"
D00270,"Antipsychotic, Anti-emetic"
D00494,"Antiallergic, H1 receptor antagonist"
D00560,"Antipsychotic, Dopamine receptor antagonist"
D00733,Anesthetic (local)
D00094,"Antineoplastic, Keratolytic, Retinoic acid receptor (RAR) agonist"
D01968,"Antihypercalcemia, Antiresorptive, Farnesylpyrophosphate synthetase inhibitor"
D00753,"Antineoplastic, Immunosuppressant, mTOR inhibitor"
D00451,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D00513,"Antiarrhythmic, Antihypertensive, Vasodilator, beta-Adrenergic receptor antagonist"
D00726,"Anti-emetic, Prokinetic, Dopamine D2 receptor antagonist"
D00120,"Analgesic, Anti-inflammatory, COX inhibitor"
D00049,"Antihyperlipidemic, Vasodilator, Supplement (nicotinic acid)"
D00070,"Anti-anemic, Hematopoietic, Supplement (folic acid)"
D00097,"Antifungal, Keratolytic"
D00118,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00132,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00141,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00510,"Analgesic, Anti-inflammatory, Antipyretic, Antirheumatic, COX inhibitor"
D01332,"Antiallergic, Antiasthmatic, H1 receptor antagonist"
D00377,Anti-inflammatory
D00414,"Antiasthmatic, Arachidonate 5-lipoxygenase inhibitor"
D00216,"Antidiabetic, alpha-Glucosidase inhibitor"
D00625,"Antidiabetic, alpha-Glucosidase inhibitor"
D01665,"Antidiabetic, alpha-Glucosidase inhibitor"
D02315,Pharmaceutic aid (emulsifying)
D00148,"Antihypoprothrombinemia, Hemostatic, Supplement (vitamin K1)"
D00545,Anesthetic (inhalation)
D00546,Anesthetic (inhalation)
D00007,Dietary supplement
D00203,"Antibiotic, Antifungal, Cell membrane function inhibitor"
D00222,"Antiviral, DNA polymerase inhibitor"
D00317,"Antiviral, DNA polymerase inhibitor"
D00884,"Antibacterial, Antifungal"
D00014,Antidote
D00333,"Antiviral, DNA polymerase inhibitor"
D00342,"Antiviral, DNA polymerase inhibitor"
D00391,"Antiviral, Nucleic acid biosynthesis inhibitor"
D00398,"Antiviral, DNA polymerase inhibitor"
D05407,"Antiviral, DNA polymerase inhibitor"
D00032,"Pharmaceutic aid (buffering agent, stabilizing)"
D00029,"Anti-inflammatory, Supplement (biotin)"
D00359,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D01862,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D01027,"Anti-anemic, Hematopoietic, Supplement (vitamin B12)"
D01180,"Antisecretory (hormone), Adrenocortical hormone biosynthesis inhibitor"
D00752,"Immunosuppressant, Inosine monophosphate dehydrogenase inhibitor"
D04966,"Antidiabetic, Hypoglycemic, AMP kinase activator"
D02304,Supplement (lysine)
D00947,"Antibacterial, Protein biosynthesis inhibitor"
D02559,"Antidepressant, Monoamine oxidase A (MAO-A) inhibitor"
D02560,"Antidepressant, Monoamine oxidase A (MAO-A) inhibitor"
D02561,"Antidepressant, Monoamine oxidase A (MAO-A) inhibitor"
D02579,"Antibacterial (tuberculostatic), Antidepressant, Monoamine oxidase (MAO) inhibitor"
D02580,"Antidepressant, Monoamine oxidase (MAO) inhibitor"
D03731,"Antidepressant, Antiparkinsonian, Monoamine oxidase B (MAO-B) inhibitor"
D04092,"Stimulant (central), Monoamine oxidase (MAO) inhibitor"
D05458,Appetite suppressant
D04983,Urinary acidifier
D02308,"Antipsoriatic, Pharmaceutic aid (acidifier)"
D00196,Acetylcholinesterase inhibitor (ophthalmic)
D00487,Acetylcholinesterase inhibitor
D00667,"Antiglaucoma, Miotic, Acetylcholinesterase inhibitor"
D00670,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D00805,"Anthelmintic (veterinary), Acetylcholinesterase inhibitor"
D02193,"Miotic, Butyrylcholinesterase inhibitor"
D03822,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D04292,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D00298,Cardiotonic
D00654,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00656,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00658,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D01240,Cardiotonic
D00054,Immunostimulant
D01370,"Antineoplastic, Antimetabolite"
D00515,"Antihypertensive, Vasodilator (coronary)"
D00516,Vasodilator (coronary)
D00630,Vasodilator (coronary)
D00475,"Gout suppressant, Uricosuric"
D00455,"Antisecretory (gastric acid), Anti-ulcerative, Proton pump inhibitor"
D00018,"Antiscorbutic, Supplement (vitamin C)"
D02566,"Antidepressant, Selective noradrenaline reuptake inhibitor (NRI)"
D00041,Supplement (threonine)
D00185,"Menstruation disorder agent, Estrogen receptor agonist"
D00530,Sedative-hypnotic
D00549,"Anesthetic (intravenous), GABA-A receptor agonist"
D00219,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00086,Supplement (thioctic acid)
D00325,"Anti-inflammatory, Glucocorticoid receptor agonist"
D00328,"Anti-inflammatory, Antipruritic, Glucocorticoid receptor agonist"
D01367,"Anti-inflammatory, Glucocorticoid receptor agonist"
D01825,"Anti-inflammatory, Glucocorticoid receptor agonist"
D02289,"Anti-inflammatory (ophthalmic), Glucocorticoid receptor agonist"
D01136,"Antifibrinolytic, Anti-inflammatory, Plasmin inhibitor"
D01907,"Antineoplastic, Antimetabolite"
D00168,"Antineoplastic, Antimetabolite, DNA polymerase inhibitor"
D00965,"Antineoplastic, Androgen receptor antagonist"
D00050,Supplement (vitamin B2)
D00109,"Analgesic, Anti-inflammatory, Antipyretic, Antirheumatic, Antiplatelet, COX inhibitor"
D00127,"Analgesic, Anti-inflammatory, Antirheumatic, COX inhibitor"
D00130,"Analgesic, Anti-inflammatory, COX inhibitor"
D00151,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00315,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D00330,"Analgesic, Anti-inflammatory, COX inhibitor"
D00425,"Analgesic, Anti-inflammatory, COX inhibitor"
D00452,"Analgesic, Anti-inflammatory"
D00463,"Analgesic, Anti-inflammatory, COX inhibitor"
D00568,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D00810,"Analgesic, Anti-inflammatory, COX inhibitor"
D00968,"Analgesic, Anti-inflammatory, COX inhibitor"
D00969,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D01183,"Anti-inflammatory, COX inhibitor"
D01513,"Anti-inflammatory, COX inhibitor"
D01547,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D01582,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D01767,"Anti-inflammatory, COX inhibitor"
D01811,Analgesic
D01866,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D02341,"Anti-inflammatory, COX inhibitor"
D02709,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D03689,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D03710,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D03712,"Analgesic, Anti-inflammatory, Antipyretic, COX-2 inhibitor"
D03714,"Anti-inflammatory, COX-2 inhibitor"
D00449,"Gout suppressant, Uricosuric"
D01118,"Antiparkinsonian, Muscarinic acetylcholine receptor antagonist"
D03208,"Antihypertensive, Renin inhibitor"
D03738,"Antihypertensive, Renin inhibitor"
D01966,"Antihyperlipidemic, Cholesterol absorption inhibitor"
D02375,"Antifungal, Ergosterol biosynthesis inhibitor"
D03034,"Anti-acne, Thioredoxin reductase inhibitor"
D00418,"Antihypertensive, Hair growth stimulant (topical), ATP-sensitive potassium channel opener"
D00036,Supplement (nicotinic acid)
D00579,"Antiviral, DNA polymerase inhibitor"
D00762,"Antihypertensive, Tyrosine monooxygenase inhibitor"
D00125,"Antineoplastic, Topoisomerase II inhibitor"
D00183,"Antibacterial, Nucleic acid biosynthesis inhibitor"
D00186,"Antibacterial, Nucleic acid biosynthesis inhibitor"
D01885,"Antineoplastic, Topoisomerase II inhibitor"
D02321,"Antineoplastic, Topoisomerase II inhibitor"
D02698,"Antineoplastic, Topoisomerase II inhibitor"
D03899,"Antineoplastic, Topoisomerase II inhibitor"
D01064,"Antineoplastic, Antimetabolite"
D04197,"Antineoplastic, Antiviral, Antimetabolite"
D00224,"Gout suppressant, Uric acid biosynthesis inhibitor, Xanthine oxidase inhibitor"
D00294,"Antihypoglycemia, Antihypertensive, ATP-sensitive potassium channel opener"
D00650,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00651,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00703,Sedative-hypnotic
D00709,Antiepileptic
D01256,"Antihypertensive, Diuretic"
D02441,"Antiglaucoma, Diuretic, Carbonic anhydrase inhibitor"
D00537,"Anticonvulsant, Antiepileptic, Antimigraine, AMPA receptor antagonist"
D00496,"Antidote, Antirheumatic, Chelating agent"
D00618,"Antihypertensive, Vasodilator, Calcium channel blocker"
D00629,"Antihypertensive, Vasodilator, Calcium channel blocker"
D01295,"Anti-emetic, Antivertigo, H1 receptor antagonist"
D00336,"Antidiabetic, Hypoglycemic"
D00110,"Anesthetic (topical), Narcotic"
D03580,"Analgesic (narcotic), Antitussive, Opioid receptor agonist"
D00499,Sedative-hypnotic
D00524,"Antihypertensive (intraocular), Muscarinic acetylcholine receptor agonist"
D00760,Neuromuscular blocking agent
D00761,"Skeletal muscle relaxant, Neuromuscular blocking agent"
D00765,"Skeletal muscle relaxant, Neuromuscular blocking agent, Muscarinic acetylcholine receptor antagonist"
D00779,"Antiparkinsonian, Muscarinic acetylcholine receptor antagonist"
D03742,Antitussive
D00775,Nerve cells protectant
D04790,"Peristaltic accelerator, Softener, Clc chloride channel inhibitor"
D00329,Sedative-hypnotic
D00331,"Diuretic, Na-K-Cl cotransporter inhibitor"
D00338,Sedative-hypnotic
D00464,Minor tranquilizer
D00474,Antiepileptic
D00548,Sedative-hypnotic
D00694,"Antianxiety, Minor tranquilizer"
D00697,"Antidote (benzodiazepines), Respiratory stimulant"
D00704,Sedative-hypnotic
D01253,"Anticonvulsant, Minor tranquilizer"
D03180,Sedative-hypnotic
D04985,"Anesthetic, Sedative-hypnotic"
D06106,Anesthetic (intravenous)
D00647,"Antiarrhythmic, Potassium channel blocker"
D00456,"Anti-emetic, Serotonin 5-HT3 receptor antagonist"
D04370,"Anti-emetic, Serotonin 5-HT3 receptor antagonist"
D00351,"Antifungal, Ergosterol biosynthesis inhibitor"
D00345,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00648,"Antiarrhythmic, Potassium channel blocker"
D00335,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00379,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00594,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D01111,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00373,"Antipsychotic, Sedative-hypnotic, Dopamine D2 receptor antagonist"
D00823,"Antidepressant, Selective serotonin reuptake inhibitor (SSRI)"
D01599,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D01854,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00303,"Antiarrhythmic, Sodium channel blocker"
D00552,"Analgesic, Anesthetic (topical), Antipruritic"
D02347,Skeletal muscle relaxant
D00354,"Anti-bipolar disorder, Anticonvulsant, Antiepileptic"
D00358,"Anesthetic (topical), Antiarrhythmic, Sodium channel blocker"
D00504,Anticonvulsant
D00553,Anesthetic (local)
D00708,Antiepileptic
D05077,"Antiarrhythmic, Cardiac depressant, Sodium channel blocker"
D06172,"Antiarrhythmic, Sodium channel blocker"
D00228,"Antidepressant, Serotonin-noradrenaline reuptake inhibitor (SNRI)"
D00367,Appetite suppressant
D01603,Antihypertensive
D02237,"Antihypertensive, Noradrenaline release inhibitor"
D04999,Stimulant (central)
D02360,"Antidepressant, Selective serotonin reuptake inhibitor (SSRI)"
D02362,"Antidepressant, Selective serotonin reuptake inhibitor (SSRI)"
D00319,"Antihypertensive, Vasodilator, Calcium channel blocker"
D00349,"Antihypertensive, Calcium channel blocker"
D00438,"Antihypertensive, Vasodilator, Calcium channel blocker"
D01108,"Antiarrhythmic, Laxative, Replenisher (electrolyte)"
D00495,Anticonvulsant
D00539,Antiepileptic
D00392,Antiepileptic
D00411,"Antiasthmatic, Leukotriene receptor antagonist"
D05129,Antiallergic
D00318,"Anti-ulcerative, H2 receptor antagonist"
D00113,"Mydriatic, Muscarinic acetylcholine receptor antagonist"
D00232,"Antispasmodic, Muscarinic acetylcholine receptor antagonist"
D00397,"Mydriatic, Muscarinic acetylcholine receptor antagonist"
D00465,"Antipollakisuria, Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D00525,"Antiglaucoma, Muscarinic acetylcholine receptor agonist"
D00540,"Anti-ulcerative, Bronchodilator, Muscarinic acetylcholine receptor antagonist"
D00646,"Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D00715,"Antispasmodic, Muscarinic acetylcholine receptor antagonist"
D01103,"Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D01871,"Antiparkinsonian, Smooth muscle relaxant, Muscarinic acetylcholine receptor antagonist"
D02070,"Mydriatic, Muscarinic acetylcholine receptor antagonist"
D02327,"Sedative-hypnotic, H1 receptor antagonist"
D02354,"Anti-emetic, Antipsychotic, Dopamine D2 receptor antagonist"
D02361,Sedative-hypnotic
D03621,"Anti-emetic, H1 receptor antagonist"
D03858,Anti-emetic
D01699,"Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D00306,"Anti-emetic, Cannabinoid receptor agonist"
D04006,"Bronchodilator, Adenosine receptor antagonist"
D00255,"Antihypertensive, alpha1/beta-Adrenergic receptor antagonist"
D00281,"Antihypertensive, alpha2-Adrenergic receptor agonist"
D00426,"Antipsychotic, Neuroleptic"
D01713,"Antiallergic, H1 receptor antagonist"
D01965,"Antidysuria, alpha1-Adrenergic receptor antagonist"
D00095,"Bronchodilator, Vasoconstrictor, Adrenergic receptor agonist"
D00954,"Contraceptive, Progesterone receptor agonist"
D02910,"Antiarrhythmic, Potassium channel blocker"
D00514,"Sedative-hypnotic, Tranquilizer, alpha2-Adrenergic receptor agonist"
D00613,"Antihypertensive, Dopamine D1 receptor agonist"
D02349,"Antiglaucoma, Adrenergic receptor agonist"
D04375,"Antihypertensive, alpha2-Adrenergic receptor agonist"
D00235,"Antiarrhythmic, Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D00432,"Antiarrhythmic, Antihypertensive, Vasodilator, beta-Adrenergic receptor antagonist"
D00645,Antiarrhythmic
D02338,"Antiarrhythmic, Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D02358,"Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D02374,"Antiglaucoma, Antihypertensive, beta-Adrenergic receptor antagonist"
D03879,"Cardiotonic, beta1-Adrenergic receptor agonist"
D04625,"Bronchodilator, beta2-Adrenergic receptor agonist"
D02147,"Bronchodilator, beta2-Adrenergic receptor agonist"
D02359,"Tocolytic, beta2-Adrenergic receptor agonist"
D05792,"Bronchodilator, beta2-Adrenergic receptor agonist"
D00059,Antiparkinsonian
D00493,"Antipsychotic, Anti-emetic, Dopamine D2 receptor antagonist"
D00790,"Antipsychotic, Dopamine receptor antagonist"
D00987,"Antiparkinsonian, Antidyskinetic, Dopamine D2 receptor agonist, Prolactin inhibitor"
D01745,"Anti-emetic, Prokinetic, Dopamine D2 receptor antagonist"
D02340,"Minor tranquilizer, Dopamine D2 receptor antagonist, Serotonin receptor antagonist"
D03165,"Antiparkinsonian, Dopamine D2 receptor agonist, Prolactin inhibitor"
D00559,"Antidepressant, Antiparkinsonian, Dopamine receptor agonist"
D00400,"Antihypertensive, Angiotensin II receptor antagonist"
D00443,"Antihypertensive, Diuretic, Aldosterone antagonist"
D00522,"Antihypertensive, Angiotensin II receptor antagonist"
D00523,"Antihypertensive, Angiotensin II receptor antagonist"
D00627,"Antihypertensive, Angiotensin II receptor antagonist"
D04040,"Antihypertensive, Angiotensin II receptor antagonist"
D01227,"Antihypertensive, Endothelin receptor antagonist"
D01717,"Antiallergic, H1 receptor antagonist"
D00241,"Antispasmodic, Muscle relaxant, GABA-B receptor agonist"
D00520,"Anti-emetic, Antivertigo, H1 receptor antagonist"
D01324,"Antiallergic, Antiasthmatic, H1 receptor antagonist"
D01782,"Antiallergic, Antipruritic, H1 receptor antagonist"
D04979,Antipruritic
D00295,"Anti-ulcerative, H2 receptor antagonist"
D00422,"Anti-ulcerative, H2 receptor antagonist"
D00440,"Anti-ulcerative, H2 receptor antagonist"
D00415,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D00675,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D02357,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist/antagonist"
D02578,"Antidepressant, Serotonin receptor antagonist, Melatonin receptor agonist"
D06056,"Prokinetic, Serotonin receptor agonist"
D05312,"Analgesic (narcotic), Opioid receptor agonist"
D00837,"Analgesic, Antitussive, Opioid receptor agonist/antagonist"
D00838,"Analgesic, Opioid receptor agonist/antagonist"
D00301,Antidiarrheal (adjunct)
D00498,"Analgesic, Opioid receptor agonist/antagonist"
D04716,"Analgesic (narcotic), Opioid receptor agonist"
D05113,"Antialcohol dependence, Narcotic antagonist, Opioid receptor antagonist"
D05938,"Analgesic (narcotic), Opioid receptor agonist"
D00180,"Vasodilator, Prostaglandin E1 receptor agonist"
D00682,"Oxytocic, Prostaglandin F receptor agonist"
D00419,"Anti-ulcerative, Prostaglandin E receptor agonist"
D00356,"Antiglaucoma, Prostaglandin F receptor agonist"
D01352,"Oxytocic, Prostaglandin F receptor agonist"
D01964,"Antiglaucoma, Prostaglandin F receptor agonist"
D00079,"Oxytocic, Prostaglandin E2 receptor agonist"
D00106,"Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist"
D00769,"Anticoagulant, Platelet aggregation inhibitor, Purinergic receptor P2Y12 antagonist"
D00442,"Antisecretory (hormone), Somatostatin receptor agonist"
D03442,Stimulant (gastric secretory)
D00066,"Menstruation disorder agent, Luteal replacement, Progesterone receptor agonist"
D00067,"Replenisher (estrogen), Estrogen receptor agonist"
D00105,"Menstruation disorder agent, Estrogen receptor agonist"
D00327,"Antineoplastic, Replenisher (androgen), Androgen receptor agonist"
D00554,"Antineoplastic, Menstruation disorder agent, Estrogen receptor agonist"
D00898,"Replenisher (estrogen), Estrogen receptor agonist"
D00950,"Contraceptive, Progesterone receptor agonist"
D01161,"Antineoplastic, Estrogen receptor agonist/antagonist"
D01294,"Contraceptive, Progesterone receptor agonist"
D02367,"Contraceptive, Progesterone receptor agonist"
D04066,"Antineoplastic, Alkylating agent"
D00088,"Anti-inflammatory, Glucocorticoid receptor agonist"
D00246,"Antiasthmatic, Anti-inflammatory, Glucocorticoid receptor agonist"
D00585,"Abortifacient, Contraceptive, Progesterone receptor antagonist"
D01387,"Anti-inflammatory, Glucocorticoid receptor agonist"
D01689,"Anti-inflammatory (topical), Glucocorticoid receptor agonist"
D00075,"Replenisher (androgen), Androgen receptor agonist"
D00462,"Anabolic, Androgen receptor agonist"
D00586,"Antineoplastic, Androgen receptor antagonist"
D00956,"Anabolic, Androgen receptor agonist"
D00961,"Antineoplastic, Androgen receptor antagonist"
D01115,"Antihypertensive, Aldosterone antagonist"
D00182,"Contraceptive, Progesterone receptor agonist"
D00690,"Antiasthmatic, Anti-inflammatory, Glucocorticoid receptor agonist"
D00951,"Antineoplastic, Contraceptive, Progesterone receptor agonist"
D01217,"Menstruation disorder agent, Progesterone receptor agonist"
D00565,"Antihyperlipidemic, Triglyceride synthesis inhibitor, Peroxisome proliferator-activated receptor (PPAR) alpha agonist"
D00316,"Antipsoriatic, Retinoic acid receptor agonist"
D00348,"Anti-acne, Keratolytic, Retinoic acid receptor (RAR) agonist"
D01132,"Anti-acne, Antipsoriatic, Keratolytic, Retinoic acid receptor (RAR) agonist"
D00040,Pharmaceutic aid (emulsifying)
D00299,"Antihypoparathyroidism, Vitamin D receptor agonist"
D00930,"Antihyperparathyroidism, Vitamin D receptor agonist"
